"idMonitoramento","porcentagem","dataHora","fkComponente","fkMaquina","fkPlanoEmpresa","fkTipoMaquina","fkEmpresaMaquina"
1,"2.5","2023-10-22 15:27:57",1,1,1,1,1
2,"38.9","2023-10-22 15:27:57",2,1,1,1,1
3,"67.4","2023-10-22 15:27:57",3,1,1,1,1
4,"2.5","2023-10-22 15:27:58",1,1,1,1,1
5,"38.9","2023-10-22 15:27:58",2,1,1,1,1
6,"67.3","2023-10-22 15:27:58",3,1,1,1,1
7,"4.3","2023-10-22 15:27:59",1,1,1,1,1
8,"38.9","2023-10-22 15:27:59",2,1,1,1,1
9,"67.3","2023-10-22 15:27:59",3,1,1,1,1
10,"7.5","2023-10-22 15:28:00",1,1,1,1,1
11,"38.9","2023-10-22 15:28:00",2,1,1,1,1
12,"67.3","2023-10-22 15:28:00",3,1,1,1,1
13,"7.2","2023-10-22 15:28:01",1,1,1,1,1
14,"38.9","2023-10-22 15:28:01",2,1,1,1,1
15,"68.1","2023-10-22 15:28:01",3,1,1,1,1
16,"7.6","2023-10-22 15:28:02",1,1,1,1,1
17,"38.9","2023-10-22 15:28:02",2,1,1,1,1
18,"68.2","2023-10-22 15:28:02",3,1,1,1,1
19,"5.5","2023-10-22 15:28:03",1,1,1,1,1
20,"38.9","2023-10-22 15:28:03",2,1,1,1,1
21,"68.1","2023-10-22 15:28:03",3,1,1,1,1
22,"5.2","2023-10-22 15:28:04",1,1,1,1,1
23,"38.9","2023-10-22 15:28:04",2,1,1,1,1
24,"68.2","2023-10-22 15:28:04",3,1,1,1,1
25,"6.3","2023-10-22 15:28:05",1,1,1,1,1
26,"38.9","2023-10-22 15:28:05",2,1,1,1,1
27,"68.2","2023-10-22 15:28:05",3,1,1,1,1
28,"5.7","2023-10-22 15:28:07",1,1,1,1,1
29,"38.9","2023-10-22 15:28:07",2,1,1,1,1
30,"68.1","2023-10-22 15:28:07",3,1,1,1,1
31,"6.7","2023-10-22 15:28:08",1,1,1,1,1
32,"38.9","2023-10-22 15:28:08",2,1,1,1,1
33,"68.0","2023-10-22 15:28:08",3,1,1,1,1
34,"6.0","2023-10-22 15:28:09",1,1,1,1,1
35,"38.9","2023-10-22 15:28:09",2,1,1,1,1
36,"67.8","2023-10-22 15:28:09",3,1,1,1,1
37,"49.5","2023-10-22 15:28:10",1,1,1,1,1
38,"38.9","2023-10-22 15:28:10",2,1,1,1,1
39,"67.4","2023-10-22 15:28:10",3,1,1,1,1
40,"9.0","2023-10-22 15:28:11",1,1,1,1,1
41,"38.9","2023-10-22 15:28:11",2,1,1,1,1
42,"67.5","2023-10-22 15:28:11",3,1,1,1,1
43,"6.8","2023-10-22 15:28:12",1,1,1,1,1
44,"38.9","2023-10-22 15:28:12",2,1,1,1,1
45,"67.5","2023-10-22 15:28:12",3,1,1,1,1
46,"4.0","2023-10-22 15:28:13",1,1,1,1,1
47,"38.9","2023-10-22 15:28:13",2,1,1,1,1
48,"67.1","2023-10-22 15:28:13",3,1,1,1,1
49,"3.0","2023-10-22 15:28:14",1,1,1,1,1
50,"38.9","2023-10-22 15:28:14",2,1,1,1,1
51,"66.7","2023-10-22 15:28:14",3,1,1,1,1
52,"1.6","2023-10-22 15:28:15",1,1,1,1,1
53,"38.9","2023-10-22 15:28:15",2,1,1,1,1
54,"66.7","2023-10-22 15:28:15",3,1,1,1,1
55,"2.9","2023-10-22 15:28:16",1,1,1,1,1
56,"38.9","2023-10-22 15:28:16",2,1,1,1,1
57,"66.7","2023-10-22 15:28:16",3,1,1,1,1
58,"2.1","2023-10-22 15:28:17",1,1,1,1,1
59,"38.9","2023-10-22 15:28:17",2,1,1,1,1
60,"66.7","2023-10-22 15:28:17",3,1,1,1,1
61,"3.1","2023-10-22 15:28:18",1,1,1,1,1
62,"38.9","2023-10-22 15:28:18",2,1,1,1,1
63,"66.7","2023-10-22 15:28:18",3,1,1,1,1
64,"2.5","2023-10-22 15:28:19",1,1,1,1,1
65,"38.9","2023-10-22 15:28:19",2,1,1,1,1
66,"66.7","2023-10-22 15:28:19",3,1,1,1,1
67,"3.8","2023-10-22 15:28:20",1,1,1,1,1
68,"38.9","2023-10-22 15:28:20",2,1,1,1,1
69,"66.7","2023-10-22 15:28:20",3,1,1,1,1
70,"2.8","2023-10-22 15:28:21",1,1,1,1,1
71,"38.9","2023-10-22 15:28:21",2,1,1,1,1
72,"66.7","2023-10-22 15:28:21",3,1,1,1,1
73,"2.3","2023-10-22 15:28:22",1,1,1,1,1
74,"38.9","2023-10-22 15:28:22",2,1,1,1,1
75,"66.7","2023-10-22 15:28:22",3,1,1,1,1
76,"1.6","2023-10-22 15:28:23",1,1,1,1,1
77,"38.9","2023-10-22 15:28:23",2,1,1,1,1
78,"66.7","2023-10-22 15:28:23",3,1,1,1,1
79,"2.8","2023-10-22 15:28:24",1,1,1,1,1
80,"38.9","2023-10-22 15:28:24",2,1,1,1,1
81,"66.7","2023-10-22 15:28:24",3,1,1,1,1
82,"2.5","2023-10-22 15:28:25",1,1,1,1,1
83,"38.9","2023-10-22 15:28:25",2,1,1,1,1
84,"66.7","2023-10-22 15:28:25",3,1,1,1,1
85,"2.7","2023-10-22 15:28:26",1,1,1,1,1
86,"38.9","2023-10-22 15:28:26",2,1,1,1,1
87,"66.7","2023-10-22 15:28:26",3,1,1,1,1
