"idMonitoramento","porcentagem","dataHora","fkComponente","fkMaquina","fkPlanoEmpresa","fkTipoMaquina","fkEmpresaMaquina"
1,"2.9","2023-10-23 20:44:46",1,1,1,1,1
2,"39.1","2023-10-23 20:44:46",2,1,1,1,1
3,"50.4","2023-10-23 20:44:46",3,1,1,1,1
4,"4.4","2023-10-23 20:45:17",1,1,1,1,1
5,"39.1","2023-10-23 20:45:17",2,1,1,1,1
6,"54.8","2023-10-23 20:45:17",3,1,1,1,1
7,"3.0","2023-10-23 20:45:48",1,1,1,1,1
8,"39.1","2023-10-23 20:45:48",2,1,1,1,1
9,"53.7","2023-10-23 20:45:48",3,1,1,1,1
10,"2.7","2023-10-23 20:46:19",1,1,1,1,1
11,"39.1","2023-10-23 20:46:19",2,1,1,1,1
12,"53.1","2023-10-23 20:46:19",3,1,1,1,1
13,"4.0","2023-10-23 20:46:50",1,1,1,1,1
14,"39.1","2023-10-23 20:46:50",2,1,1,1,1
15,"52.9","2023-10-23 20:46:50",3,1,1,1,1
16,"2.5","2023-10-23 20:47:21",1,1,1,1,1
17,"39.1","2023-10-23 20:47:21",2,1,1,1,1
18,"52.8","2023-10-23 20:47:21",3,1,1,1,1
19,"2.1","2023-10-23 20:47:52",1,1,1,1,1
20,"39.1","2023-10-23 20:47:52",2,1,1,1,1
21,"52.5","2023-10-23 20:47:52",3,1,1,1,1
22,"1.8","2023-10-23 20:48:23",1,1,1,1,1
23,"39.1","2023-10-23 20:48:23",2,1,1,1,1
24,"52.5","2023-10-23 20:48:23",3,1,1,1,1
25,"4.3","2023-10-23 20:48:54",1,1,1,1,1
26,"39.1","2023-10-23 20:48:54",2,1,1,1,1
27,"52.8","2023-10-23 20:48:54",3,1,1,1,1
28,"2.5","2023-10-23 20:49:25",1,1,1,1,1
29,"39.1","2023-10-23 20:49:25",2,1,1,1,1
30,"52.8","2023-10-23 20:49:25",3,1,1,1,1
31,"7.1","2023-10-23 20:49:56",1,1,1,1,1
32,"39.1","2023-10-23 20:49:56",2,1,1,1,1
33,"54.0","2023-10-23 20:49:56",3,1,1,1,1
34,"5.8","2023-10-23 20:50:27",1,1,1,1,1
35,"39.2","2023-10-23 20:50:27",2,1,1,1,1
36,"60.1","2023-10-23 20:50:27",3,1,1,1,1
37,"11.3","2023-10-23 20:50:58",1,1,1,1,1
38,"39.3","2023-10-23 20:50:58",2,1,1,1,1
39,"64.1","2023-10-23 20:50:58",3,1,1,1,1
40,"24.7","2023-10-23 20:51:30",1,1,1,1,1
41,"39.2","2023-10-23 20:51:30",2,1,1,1,1
42,"67.0","2023-10-23 20:51:30",3,1,1,1,1
43,"100.0","2023-10-23 20:52:02",1,1,1,1,1
44,"39.2","2023-10-23 20:52:02",2,1,1,1,1
45,"79.3","2023-10-23 20:52:02",3,1,1,1,1
46,"100.0","2023-10-23 20:52:33",1,1,1,1,1
47,"39.2","2023-10-23 20:52:33",2,1,1,1,1
48,"84.7","2023-10-23 20:52:33",3,1,1,1,1
49,"5.9","2023-10-23 20:53:04",1,1,1,1,1
50,"39.2","2023-10-23 20:53:04",2,1,1,1,1
51,"85.1","2023-10-23 20:53:04",3,1,1,1,1
52,"3.1","2023-10-23 20:53:35",1,1,1,1,1
53,"39.3","2023-10-23 20:53:35",2,1,1,1,1
54,"84.7","2023-10-23 20:53:35",3,1,1,1,1
55,"2.7","2023-10-23 20:54:06",1,1,1,1,1
56,"39.3","2023-10-23 20:54:06",2,1,1,1,1
57,"84.1","2023-10-23 20:54:06",3,1,1,1,1
58,"32.6","2023-10-23 20:54:38",1,1,1,1,1
59,"39.3","2023-10-23 20:54:38",2,1,1,1,1
60,"63.4","2023-10-23 20:54:38",3,1,1,1,1
61,"2.5","2023-10-23 20:55:09",1,1,1,1,1
62,"39.3","2023-10-23 20:55:09",2,1,1,1,1
63,"59.6","2023-10-23 20:55:09",3,1,1,1,1
