id;porcentagem;data;componente;id máquina;fkPlanoEmpresa;fkTipoMaquina;fkEmpresaMaquina
1;2.5;22/10/2023 15:27;cpu;1;ultra;computador;health touch
2;38.9;22/10/2023 15:27;disco;1;ultra;computador;health touch
3;67.4;22/10/2023 15:27;ram;1;ultra;computador;health touch
4;2.5;22/10/2023 15:27;cpu;1;ultra;computador;health touch
5;38.9;22/10/2023 15:27;disco;1;ultra;computador;health touch
6;67.3;22/10/2023 15:27;ram;1;ultra;computador;health touch
7;4.3;22/10/2023 15:27;cpu;1;ultra;computador;health touch
8;38.9;22/10/2023 15:27;disco;1;ultra;computador;health touch
9;67.3;22/10/2023 15:27;ram;1;ultra;computador;health touch
10;7.5;22/10/2023 15:28;cpu;1;ultra;computador;health touch
11;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
12;67.3;22/10/2023 15:28;ram;1;ultra;computador;health touch
13;7.2;22/10/2023 15:28;cpu;1;ultra;computador;health touch
14;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
15;68.1;22/10/2023 15:28;ram;1;ultra;computador;health touch
16;7.6;22/10/2023 15:28;cpu;1;ultra;computador;health touch
17;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
18;68.2;22/10/2023 15:28;ram;1;ultra;computador;health touch
19;5.5;22/10/2023 15:28;cpu;1;ultra;computador;health touch
20;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
21;68.1;22/10/2023 15:28;ram;1;ultra;computador;health touch
22;5.2;22/10/2023 15:28;cpu;1;ultra;computador;health touch
23;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
24;68.2;22/10/2023 15:28;ram;1;ultra;computador;health touch
25;6.3;22/10/2023 15:28;cpu;1;ultra;computador;health touch
26;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
27;68.2;22/10/2023 15:28;ram;1;ultra;computador;health touch
28;5.7;22/10/2023 15:28;cpu;1;ultra;computador;health touch
29;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
30;68.1;22/10/2023 15:28;ram;1;ultra;computador;health touch
31;6.7;22/10/2023 15:28;cpu;1;ultra;computador;health touch
32;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
33;68.0;22/10/2023 15:28;ram;1;ultra;computador;health touch
34;6.0;22/10/2023 15:28;cpu;1;ultra;computador;health touch
35;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
36;67.8;22/10/2023 15:28;ram;1;ultra;computador;health touch
37;49.5;22/10/2023 15:28;cpu;1;ultra;computador;health touch
38;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
39;67.4;22/10/2023 15:28;ram;1;ultra;computador;health touch
40;9.0;22/10/2023 15:28;cpu;1;ultra;computador;health touch
41;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
42;67.5;22/10/2023 15:28;ram;1;ultra;computador;health touch
43;6.8;22/10/2023 15:28;cpu;1;ultra;computador;health touch
44;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
45;67.5;22/10/2023 15:28;ram;1;ultra;computador;health touch
46;4.0;22/10/2023 15:28;cpu;1;ultra;computador;health touch
47;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
48;67.1;22/10/2023 15:28;ram;1;ultra;computador;health touch
49;3.0;22/10/2023 15:28;cpu;1;ultra;computador;health touch
50;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
51;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
52;1.6;22/10/2023 15:28;cpu;1;ultra;computador;health touch
53;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
54;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
55;2.9;22/10/2023 15:28;cpu;1;ultra;computador;health touch
56;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
57;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
58;2.1;22/10/2023 15:28;cpu;1;ultra;computador;health touch
59;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
60;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
61;3.1;22/10/2023 15:28;cpu;1;ultra;computador;health touch
62;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
63;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
64;2.5;22/10/2023 15:28;cpu;1;ultra;computador;health touch
65;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
66;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
67;3.8;22/10/2023 15:28;cpu;1;ultra;computador;health touch
68;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
69;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
70;2.8;22/10/2023 15:28;cpu;1;ultra;computador;health touch
71;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
72;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
73;2.3;22/10/2023 15:28;cpu;1;ultra;computador;health touch
74;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
75;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
76;1.6;22/10/2023 15:28;cpu;1;ultra;computador;health touch
77;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
78;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
79;2.8;22/10/2023 15:28;cpu;1;ultra;computador;health touch
80;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
81;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
82;2.5;22/10/2023 15:28;cpu;1;ultra;computador;health touch
83;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
84;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
85;2.7;22/10/2023 15:28;cpu;1;ultra;computador;health touch
86;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
87;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
88;2.4;22/10/2023 15:28;cpu;1;ultra;computador;health touch
89;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
90;66.7;22/10/2023 15:28;ram;1;ultra;computador;health touch
91;2.5;22/10/2023 15:28;cpu;1;ultra;computador;health touch
92;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
93;66.6;22/10/2023 15:28;ram;1;ultra;computador;health touch
94;2.7;22/10/2023 15:28;cpu;1;ultra;computador;health touch
95;38.9;22/10/2023 15:28;disco;1;ultra;computador;health touch
