id;porcentagem;data;componente
1;2.5;22/10/2023 15:27;cpu
2;38.9;22/10/2023 15:27;disco
3;67.4;22/10/2023 15:27;ram
4;2.5;22/10/2023 15:27;cpu
5;38.9;22/10/2023 15:27;disco
6;67.3;22/10/2023 15:27;ram
7;4.3;22/10/2023 15:27;cpu
8;38.9;22/10/2023 15:27;disco
9;67.3;22/10/2023 15:27;ram
10;7.5;22/10/2023 15:28;cpu
11;38.9;22/10/2023 15:28;disco
12;67.3;22/10/2023 15:28;ram
13;7.2;22/10/2023 15:28;cpu
14;38.9;22/10/2023 15:28;disco
15;68.1;22/10/2023 15:28;ram
16;7.6;22/10/2023 15:28;cpu
17;38.9;22/10/2023 15:28;disco
18;68.2;22/10/2023 15:28;ram
19;5.5;22/10/2023 15:28;cpu
20;38.9;22/10/2023 15:28;disco
21;68.1;22/10/2023 15:28;ram
22;5.2;22/10/2023 15:28;cpu
23;38.9;22/10/2023 15:28;disco
24;68.2;22/10/2023 15:28;ram
25;6.3;22/10/2023 15:28;cpu
26;38.9;22/10/2023 15:28;disco
27;68.2;22/10/2023 15:28;ram
28;5.7;22/10/2023 15:28;cpu
29;38.9;22/10/2023 15:28;disco
30;68.1;22/10/2023 15:28;ram
31;6.7;22/10/2023 15:28;cpu
32;38.9;22/10/2023 15:28;disco
33;68.0;22/10/2023 15:28;ram
34;6.0;22/10/2023 15:28;cpu
35;38.9;22/10/2023 15:28;disco
36;67.8;22/10/2023 15:28;ram
37;49.5;22/10/2023 15:28;cpu
38;38.9;22/10/2023 15:28;disco
39;67.4;22/10/2023 15:28;ram
40;9.0;22/10/2023 15:28;cpu
41;38.9;22/10/2023 15:28;disco
42;67.5;22/10/2023 15:28;ram
43;6.8;22/10/2023 15:28;cpu
44;38.9;22/10/2023 15:28;disco
45;67.5;22/10/2023 15:28;ram
46;4.0;22/10/2023 15:28;cpu
47;38.9;22/10/2023 15:28;disco
48;67.1;22/10/2023 15:28;ram
49;3.0;22/10/2023 15:28;cpu
50;38.9;22/10/2023 15:28;disco
51;66.7;22/10/2023 15:28;ram
52;1.6;22/10/2023 15:28;cpu
53;38.9;22/10/2023 15:28;disco
54;66.7;22/10/2023 15:28;ram
55;2.9;22/10/2023 15:28;cpu
56;38.9;22/10/2023 15:28;disco
57;66.7;22/10/2023 15:28;ram
58;2.1;22/10/2023 15:28;cpu
59;38.9;22/10/2023 15:28;disco
60;66.7;22/10/2023 15:28;ram
61;3.1;22/10/2023 15:28;cpu
62;38.9;22/10/2023 15:28;disco
63;66.7;22/10/2023 15:28;ram
64;2.5;22/10/2023 15:28;cpu
65;38.9;22/10/2023 15:28;disco
66;66.7;22/10/2023 15:28;ram
67;3.8;22/10/2023 15:28;cpu
68;38.9;22/10/2023 15:28;disco
69;66.7;22/10/2023 15:28;ram
70;2.8;22/10/2023 15:28;cpu
71;38.9;22/10/2023 15:28;disco
72;66.7;22/10/2023 15:28;ram
73;2.3;22/10/2023 15:28;cpu
74;38.9;22/10/2023 15:28;disco
75;66.7;22/10/2023 15:28;ram
76;1.6;22/10/2023 15:28;cpu
77;38.9;22/10/2023 15:28;disco
78;66.7;22/10/2023 15:28;ram
79;2.8;22/10/2023 15:28;cpu
80;38.9;22/10/2023 15:28;disco
