"id";"fkOrigem";"dado";"dtHora"
100000;1;79.4;"2023-09-13 23:19:57"
100001;2;0.7;"2023-09-13 23:19:57"
100002;3;77.0;"2023-09-13 23:19:57"
100003;1;79.4;"2023-09-13 23:20:03"
100004;2;0.4;"2023-09-13 23:20:03"
100005;3;77.1;"2023-09-13 23:20:03"
100006;1;79.4;"2023-09-13 23:20:08"
100007;2;0.9;"2023-09-13 23:20:08"
100008;3;76.5;"2023-09-13 23:20:08"
100009;1;79.4;"2023-09-13 23:20:13"
100010;2;0.5;"2023-09-13 23:20:13"
100011;3;76.4;"2023-09-13 23:20:13"
100012;1;79.4;"2023-09-13 23:20:18"
100013;2;0.6;"2023-09-13 23:20:18"
100014;3;76.4;"2023-09-13 23:20:18"
100015;1;79.4;"2023-09-13 23:20:23"
100016;2;0.6;"2023-09-13 23:20:23"
100017;3;76.5;"2023-09-13 23:20:23"
100018;1;79.4;"2023-09-13 23:20:28"
100019;2;0.7;"2023-09-13 23:20:28"
100020;3;76.5;"2023-09-13 23:20:28"
100021;1;79.4;"2023-09-13 23:20:33"
100022;2;0.7;"2023-09-13 23:20:33"
100023;3;76.7;"2023-09-13 23:20:33"
100024;1;79.4;"2023-09-13 23:20:38"
100025;2;0.6;"2023-09-13 23:20:38"
100026;3;76.7;"2023-09-13 23:20:38"
100027;1;79.4;"2023-09-13 23:20:43"
100028;2;0.4;"2023-09-13 23:20:43"
100029;3;76.6;"2023-09-13 23:20:43"
100030;1;79.4;"2023-09-13 23:20:48"
100031;2;0.6;"2023-09-13 23:20:48"
100032;3;76.6;"2023-09-13 23:20:48"
100033;1;79.4;"2023-09-13 23:20:53"
100034;2;0.4;"2023-09-13 23:20:53"
100035;3;76.6;"2023-09-13 23:20:53"
100036;1;79.4;"2023-09-13 23:20:58"
100037;2;0.4;"2023-09-13 23:20:58"
100038;3;76.7;"2023-09-13 23:20:58"
100039;1;79.4;"2023-09-13 23:21:03"
100040;2;0.6;"2023-09-13 23:21:03"
100041;3;77.5;"2023-09-13 23:21:03"
100042;1;79.4;"2023-09-13 23:21:08"
100043;2;0.4;"2023-09-13 23:21:08"
100044;3;77.5;"2023-09-13 23:21:08"
100045;1;79.4;"2023-09-13 23:21:13"
100046;2;0.2;"2023-09-13 23:21:13"
100047;3;77.2;"2023-09-13 23:21:13"
100048;1;79.4;"2023-09-13 23:21:18"
100049;2;1.3;"2023-09-13 23:21:18"
100050;3;77.1;"2023-09-13 23:21:18"
100051;1;79.4;"2023-09-13 23:21:23"
100052;2;0.9;"2023-09-13 23:21:23"
100053;3;76.1;"2023-09-13 23:21:23"
100054;1;79.4;"2023-09-13 23:21:29"
100055;2;0.4;"2023-09-13 23:21:29"
100056;3;76.2;"2023-09-13 23:21:29"
100057;1;79.4;"2023-09-13 23:21:34"
100058;2;0.7;"2023-09-13 23:21:34"
100059;3;76.1;"2023-09-13 23:21:34"
100060;1;79.4;"2023-09-13 23:21:39"
100061;2;0.4;"2023-09-13 23:21:39"
100062;3;76.2;"2023-09-13 23:21:39"
100063;1;79.4;"2023-09-13 23:21:44"
100064;2;0.6;"2023-09-13 23:21:44"
100065;3;76.2;"2023-09-13 23:21:44"
100066;1;79.4;"2023-09-13 23:21:49"
100067;2;0.3;"2023-09-13 23:21:49"
100068;3;76.2;"2023-09-13 23:21:49"
100069;1;79.4;"2023-09-13 23:21:54"
100070;2;0.3;"2023-09-13 23:21:54"
100071;3;76.1;"2023-09-13 23:21:54"
100072;1;79.4;"2023-09-13 23:21:59"
100073;2;0.3;"2023-09-13 23:21:59"
100074;3;76.2;"2023-09-13 23:21:59"
100075;1;79.4;"2023-09-13 23:22:04"
100076;2;0.9;"2023-09-13 23:22:04"
100077;3;76.0;"2023-09-13 23:22:04"
100078;1;79.4;"2023-09-13 23:22:09"
100079;2;0.6;"2023-09-13 23:22:09"
100080;3;76.0;"2023-09-13 23:22:09"
100081;1;79.4;"2023-09-13 23:22:14"
100082;2;0.4;"2023-09-13 23:22:14"
100083;3;76.0;"2023-09-13 23:22:14"
100084;1;79.4;"2023-09-13 23:22:19"
100085;2;0.6;"2023-09-13 23:22:19"
100086;3;76.4;"2023-09-13 23:22:19"
100087;1;79.4;"2023-09-13 23:22:24"
100088;2;0.4;"2023-09-13 23:22:24"
100089;3;76.4;"2023-09-13 23:22:24"
100090;1;79.4;"2023-09-13 23:22:29"
100091;2;0.4;"2023-09-13 23:22:29"
100092;3;76.4;"2023-09-13 23:22:29"
100093;1;79.4;"2023-09-13 23:22:34"
100094;2;0.3;"2023-09-13 23:22:34"
100095;3;76.3;"2023-09-13 23:22:34"
100096;1;79.4;"2023-09-13 23:22:39"
100097;2;0.3;"2023-09-13 23:22:39"
100098;3;76.3;"2023-09-13 23:22:39"
100099;1;79.4;"2023-09-13 23:22:44"
100100;2;0.4;"2023-09-13 23:22:44"
